Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred,File_Name
S-2020-168453,28/01/2020 17:03,Term 1,Emergency Situation,Rural South and West,Queanbeyan,Severe Storm,,,"An employee sustained a minor injury as the result of a severe storm, on school grounds, last week. The employee does not require any medical treatment or time off work as a result.",1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-168467,29/01/2020 8:31,Term 1,Violence,Metropolitan South & South West,Woronora River,Indecent Assault,,,A student indecently assaulted another student on school grounds. #### guidelines were consulted ####,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-168763,29/01/2020 15:55,Term 1,Emergency Situation,Regional North,Brisbane Water,Utility Failure,,,Employee reports a water pipe has burst in a building on school grounds. Water supply has temporarily been turned off. Contractors attended the school to rectify the damage and will return the following day. #### will be done. Director Educational Leadership will be informed.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-168982,30/01/2020 12:10,Term 1,Violence,Regional North,Windsor,Assault,,,An executive staff member has sustained an injury after being assaulted on school grounds by a student. No first aid required. Student has continued to  verbally abuse staff. Parents notified. Police contacted and are attending. Executive staff member will be seeking medical treatment. School is managing the matter and supports will be put in place. Director Educational Leadership has been notified.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-169180,30/01/2020 14:58,Term 1,Emergency Situation,Metropolitan South,Parramatta,Utility Failure,,,Employee advises a utility failure on school grounds. Nil injuries sustained. Building maintenance are working to rectify the issue. Executive staff are aware.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-169238,30/01/2020 15:58,Term 1,Violence,Regional North and West,Great Lakes,Accidental Assault,,,"A student accidentally sustained an injury while playing sport, at an off-site school activity. First aid was applied and an ambulance was called. The student?s parents were contacted. The student was conveyed to hospital for medical treatment. Support is in place.",1,Off site activity,2020-biannual-incident-report-n1.csv
S-2020-169397,31/01/2020 9:55,Term 1,Violence,Regional North and West,Bathurst,Assault,,,"A student was injured on school grounds while engaging in xxxxx behavior. First aid was applied. Parents were contacted. Ambulance was called, attended and conveyed the student to hospital for further medical xxxxx.",1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-169411,31/01/2020 10:13,Term 1,Welfare,Metropolitan North,The Ponds,Student Behaviour,,,School reports of an employee and a student being impacted by another  student in a heightened state on school grounds. School was placed in lockdown for a xxxxx period of time. Employee and student received first aid.  Parents notified. Student xxxxx at school. Supports in place. Executive staff aware.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-169419,31/01/2020 10:20,Term 1,Emergency Situation,Regional North and West,Great Lakes,Utility Failure,,,A staff member was impacted by a brief utility failure on school grounds.  Support is in place.  Staff member will remain in school.  Executive staff was aware.  Contractor was notified.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-169471,31/01/2020 11:29,Term 1,Violence,Metropolitan South & South West,Glenfield,Indecent Assault,,,A student has alleged an indecent assault has occurred on school grounds involving XXXX other students. #### has been followed. Parents have been notified. Supports are in place. #####.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-169664,31/01/2020 14:00,Term 1,Criminal Activity,Regional North and West,Coffs Harbour,Bomb Threat,,,Principal reported that a bomb threat was made toward the school via email. Director was notified. Police were contacted and the school has followed their emergency management plan and have proceeded to their evacuation point. Media unit have been notified.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-169681,31/01/2020 14:06,Term 1,Criminal Activity,Regional North and West,Coffs Harbour,Bomb Threat,,,A bomb threat was received by email to the school administration staff.  Police contacted and will investigated. The school was evacuated. Police are attending and will conduct a search of the location. DEL and Media Unit informed.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-169682,31/01/2020 14:06,Term 1,Violence,Regional North,Tuggerah Lakes,Accidental Assault,,,School reports XXXX student collided into each while playing in the school grounds. One student sustained injury. School contacted the student's parents. Student's parent picked up the student and sort medical treatment. Executive staff aware,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-169905,31/01/2020 16:38,Term 1,Emergency Situation,Metropolitan North,Pittwater,Utility Failure,,,The school experienced XXXX temporary power outages today. No one was injured. Executive staff are aware.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-169910,31/01/2020 16:43,Term 1,Welfare,Connected Communities,Connected Communities Team 2,Student Welfare Concerns,Absconding / Missing Student,,Employee reports student absconded from school. School contacted parents and confirmed student is with the parents. Executive employee aware. School managing on a local level . Student is believed to sustained an injury prior to leaving school. Seeking medical advice.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-170190,3/02/2020 13:23,Term 1,Emergency Situation,Metropolitan South & South West,Fairfield,Utility Failure,,,The school was without power from XXXX due to the substation failing. The employee reports the school is currently undergoing construction work and the construction company attended to the power issue and had it resolved. The school remained operational in this time.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-170263,3/02/2020 14:10,Term 1,Violence,Regional North and West,Hastings,Assault,,,xxxxx students were involved in a physical altercation in the playground. xxxxx students sustained  multiple injuries. xxxxx employees assisted to separate the students and in doing so  came in contact with xxxxx xxxxx. Executive staff were notified who contacted parents and Police. Employee will seek medical attention.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-170270,3/02/2020 14:13,Term 1,Violence,Metropolitan South,Kogarah,Indecent Assault,,,An independent student disclosed XXXX students were inappropriately touched by another another student.  Supports are in place for students and will be reported to Police. XXXX will be completed.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-170430,3/02/2020 15:40,Term 1,Welfare,Metropolitan South & South West,Bungarribee,Student Behaviour,,,"xxxxx students have absconded xxxxx and continued to damage school property. Executive staff were notified who contacted parents and Police. One of the students was non-compliant to xxxxx instructions and was xxxxx, this was filmed by a xxxxx student. Police have xxxxx the xxxxx. xxxxx xxxxx has been taken, Media Unit has been contacted. Mandatory reporting is xxxxx being actioned.",1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-170502,3/02/2020 16:14,Term 1,Violence,Rural South and West,Albury,Assault,,,Unknown members of the community were involved in a physical altercation adjacent to the school. Staff members had to assist with stopping the altercation. No staff or student were injured. Police and Ambulance attended the scene.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-170781,4/02/2020 12:43,Term 1,Violence,Rural North,Grafton,Assault,,,"A student has xxxxx assaulted another student and staff member on school grounds.  Parents of both students have been contacted. 
Police have been notified. Executive staff aware and supports are in place for the student and staff member.",1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-170826,4/02/2020 13:31,Term 1,Emergency Situation,Regional North,Central Coast,Police Operation,,,Police were on site for a Police Operation.  No students were involved or impacted during the incident.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-171112,4/02/2020 16:30,Term 1,Violence,Rural North,Peel,Allegations Of Sexual  Assault,,Problematic and Harmful #### ised Behaviour,Police notified executive staff that a student has been arrested off school grounds surrounding allegations of ####  assault.  Internal and external support agencies have been engaged and #### has been actioned.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-171140,4/02/2020 16:40,Term 1,Substances,Metropolitan South,Canterbury,Usage and Consumption of Substances,,,Executive staff reports XXXX students became visibly unwell after consuming XXXX and XXXX on school grounds. Students were conveyed to hospital via ambulance and were met by parents. Support is currently being organised.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-171213,5/02/2020 8:35,Term 1,Violence,Rural North,Tweed Coast,Assault,,,School reports xxxxx students were involved  in a physical altercation that has occurred within the  school grounds. One student sustained an injury. School contacted emergency and student was conveyed to hospital. The other student absconded school grounds. School contact parents. School to contact the police.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-171265,5/02/2020 9:36,Term 1,Violence,Metropolitan South & South West,Woronora River,Assault,,,Executive staff reports a physical altercation between multiple students off school grounds. School and police are currently investigating. A student is receiving medical treatment. Parents are aware and school is also managing at a local level. Mandatory reporting will be followed. Director Educational Leadership will be notified.,1,Off site activity,2020-biannual-incident-report-n1.csv
S-2020-171402,5/02/2020 11:16,Term 1,Violence,Regional North and West,Great Lakes,Indecent Assault,,,A former student advised an executive staff member allegations of indecent assault involving another former student which took place at their current school. Executive staff will be notifying the student's current school. Support is in place for the student.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-171564,5/02/2020 13:09,Term 1,Welfare,Metropolitan North,North Sydney,Student Behaviour,,,Executive staff reports a student's xxxxx behavioural issues on school grounds. The parents are aware and the student is xxxxx seeking xxxxx support. Mandatory reporting has been followed. Support has also been organised at school.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-171919,5/02/2020 16:45,Term 1,Violence,Regional North and West,Macquarie,Assault,,,Employee reports that xxxxx students have been involved in a physical altercation on school grounds. A staff member intervened and was injured as a result. First aid was not required. Another student filmed the altercation which has been circulated on social media platforms. Parents have been contacted. Police are investigating. Media unit to be contacted. Executive staff are aware.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-172058,6/02/2020 9:35,Term 1,Violence,Rural North,Lennox Coast,Indecent Assault,,,"A student had made allegations they were indecently assaulted by another student on site. Parents have been contacted regarding the incident. Supports to be put in place for students involved. 
#####.",1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-172139,6/02/2020 10:28,Term 1,Violence,Metropolitan South & South West,Bungarribee,Indecent Assault,,,"A student was indecently assaulted by another student.  Police contacted and are investigating.  Support in place for students. 
#####.",1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-172197,6/02/2020 11:08,Term 1,Emergency Situation,Metropolitan South,Parramatta,Utility Failure,,,Employee advises a utility failure on school grounds. Nil injuries sustained. Support has been offered to staff and students. The school is working with multiple parties to rectify the issue. Executive staff are aware.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-172368,6/02/2020 12:49,Term 1,Violence,Regional South,Campbelltown,Assault,,,An employee was injured from a student on school grounds. Counselling is in place for both student and employee. Parents and executive staff aware. No emergency services required.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-172437,6/02/2020 13:25,Term 1,Violence,Rural North,Mooki,Assault,,,"Employee advises an assault occurred at an offsite activity involving a parent, student and staff.  The police were called and attended. Supports offered. Executive staff are aware.",1,Off site activity,2020-biannual-incident-report-n1.csv
S-2020-172715,6/02/2020 15:58,Term 1,Violence,Metropolitan South & South West,Chipping Norton,Allegations Of Sexual  Assault,,,Executive staff reports allegations of ####  assault by a family member against XXXX students off school grounds. Students are in the care of another parent and police are aware. #### has been followed.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-172985,7/02/2020 9:56,Term 1,Violence,Metropolitan South & South West,Penrith,Assault,,Possession of a Weapon,xxxxx students were involved in a physical altercation. One student produced a weapon and made threats. No injuries. The weapon was confiscated by staff. Another student and staff member intervened. That student required first aid. Parents have been notified. Police confiscated the weapon and are investigating. Mandatory reporting was followed. Supports are in place for staff and students involved. Executive staff are aware.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173004,7/02/2020 10:23,Term 1,Emergency Situation,Metropolitan South,Auburn,Police Operation,,,A student was interviewed by police on school grounds relating to a previous incident. #### guidelines have been followed and supports are in place.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173044,7/02/2020 10:59,Term 1,Criminal Activity,Rural South and West,Gundagai,Bomb Threat,,,School reports malicious damage was done to school property which indicated a threat to the school community. Police contacted and will investigate.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173061,7/02/2020 11:06,Term 1,Welfare,Metropolitan South,Parramatta,Student Welfare Concerns,Absconding / Missing Student,,XXXX students have absconded school ground by climbing the fence. Employees followed the students but shortly lost sight of them. The students were returned to the school by an employee from a neighboring school who had identified them. Upon return to school the student absconded again. Executive staff were notified who contacted parents. Students returned to school on their own shortly after. Disciplinary action has been taken and #### is currently being actioned.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173067,7/02/2020 11:14,Term 1,Violence,Regional North,Cessnock,Assault,,,xxxxx students have had a physical altercation on school grounds. xxxxx students have sustained injuries. First aid provided. Police have been called and are currently investigating. Parents to be notified. Executive staff aware and managing.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173068,7/02/2020 11:15,Term 1,Emergency Situation,Regional South,Lake Illawarra North,Utility Failure,,,Executive staff member reports a utility failure to the school. The school is working with multiple parties to rectify the issue. The school is currently operational and the Director Educational Leadership will be made aware.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173086,7/02/2020 11:23,Term 1,Welfare,Regional South,Camden,Student Welfare Concerns,Absconding / Missing Student,,XXXX students have absconded from school grounds. Current whereabouts of the students unknown. School will contact parents. School will contact police. An executive staff member is aware of the incident.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173120,7/02/2020 11:41,Term 1,Welfare,Rural South and West,Albury,Self Harm,,,A student witnessed another student attempt self-harm on school grounds. Nil injuries sustained. Supports in place for students involved. #### Guidelines have been followed. Parents will be notified.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173287,7/02/2020 13:36,Term 1,Violence,Regional North and West,Mudgee,Assault,,,A student has xxxxx assaulted another student on school grounds. Possible xxxxx sustained. Executive staff were notified who contacted parents. xxxxx xxxxx has been taken and Police will be contacted. Mandatory Reporting is currently being actioned.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173345,7/02/2020 14:09,Term 1,Malicious Use of Technology,Metropolitan South & South West,Eastern Creek,Nuisance Use of Technology,,,A student received an inappropriate image from an unknown person electronically. Executive staff are aware. Police have been contacted and will be investigating. Parents will be notified.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173438,7/02/2020 14:39,Term 1,Violence,Metropolitan South & South West,St Andrews,Assault,,,An employee sustained an injury after being assaulted by a heightened student on school grounds. First aid was not required. A family member attempted to collect the student. Student absconded into another xxxxx and assaulted xxxxx other employees. The school went into lock down and police attended. Student is currently with a family member. Executive staff are aware. Support will be organised.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173454,7/02/2020 14:45,Term 1,Violence,Rural South and West,Albury,Assault,,,A student has xxxxx assaulted another student on school grounds. No injuries reported. Medical treatment is being sought as a precaution. The student has absconded from school grounds and has xxxxx xxxxx. Parents have been notified. Police are investigating. The incident has been filmed. Mandatory reporting has been followed. Supports are in place for both students and executive staff are aware.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173493,7/02/2020 14:54,Term 1,Violence,Metropolitan South & South West,St Andrews,Assault,,,An employee reports sustaining injuries as a result of xxxxx of assault by a student. School is managing the matter. Parents are aware. School executive staff are aware.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173500,7/02/2020 14:57,Term 1,Welfare,Rural South and West,Eden-Monaro,Self Harm,,,A student has disclosed to a staff member they have self-harmed during the school holidays off school grounds and has on going suicidal ideations. Parents and executive staff are aware. #### has been followed. Supports are in place for the student.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173566,7/02/2020 15:25,Term 1,Violence,Metropolitan South & South West,St Andrews,Assault,,,An employee reports injuries sustained as a result of student behaviour. First aid has been administered. Parents are aware. School executive staff are aware.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173591,7/02/2020 15:35,Term 1,Violence,Metropolitan South & South West,St Andrews,Assault,,,A staff member has suffered an injury after being assaulted by a student on school grounds. First aid was provided to the staff member. The students family have been contacted and the xxxxx xxxxx for the student will be xxxxx. Executive staff are aware.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173631,7/02/2020 15:47,Term 1,Violence,Regional South,Campbelltown,Allegations Of Sexual  Assault,,,A student has disclosed allegations of ####  assault to themselves and another student by XXXX student in the school bathroom. Executive staff were notified who contacted parents. #### has been actioned and supports are in place.  #####,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173710,7/02/2020 16:14,Term 1,Welfare,Metropolitan North,Ryde,Attempted Suicide,,,A student attempted suicide on school grounds. Parents and ambulance were contacted. Ambulance attended and conveyed the student for further medical assessment. Supports are in place.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173804,7/02/2020 17:11,Term 1,Welfare,Rural North,Lennox Coast,Self Harm,,,"A student has ingested a large amount of XXXX on school grounds. Ambulance was notified and conveyed student to hospital, accompanied by parent. Executive staff are aware. Support is in place. #### has been followed.",1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173814,10/02/2020 8:01,Term 1,Emergency Situation,Regional South,Camden,Severe Storm,,,School reports of property damage due to the storm. No injuries had been sustained. Access to the area has been blocked off for safety.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173828,10/02/2020 8:32,Term 1,Emergency Situation,Regional South,Lake Illawarra South,Flood,,,"The Deputy Principal reports flooding in school admin block causing water exposure to electrical power points and cords. 
School is still operating as normal. 
Administration Block has been closed off for safety precaution.",1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173831,10/02/2020 8:45,Term 1,Emergency Situation,Metropolitan South & South West,Glenfield,Utility Failure,,,Executive staff member reports a utility failure to the school. A contractor is currently attending the school to rectify the issue. The school is currently operational and the Director Educational Leadership will be made aware.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173853,10/02/2020 9:09,Term 1,Emergency Situation,Metropolitan North,Ryde,Utility Failure,,,Executive staff report loss of electricity on school grounds. The school remains operational. Parents have been notified. The school is monitoring the situation and liaising with the Director Educational leader.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173871,10/02/2020 9:34,Term 1,Emergency Situation,Metropolitan South & South West,Sutherland,Flood,,,Multiple classrooms have been damaged due to flooding. Classrooms have been closed off from access. School remains operational. Director Education Leadership to be notified. Executive staff are aware of the incident and managing.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173874,10/02/2020 9:35,Term 1,Emergency Situation,Metropolitan North,Hornsby,Utility Failure,,,The principal advises that there is no current power in the school due to the floods and winds causing tree's to knock down electrical power lines in the area. School is still operating as normal.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173877,10/02/2020 9:37,Term 1,Emergency Situation,Regional South,Campbelltown,Utility Failure,,,"School reports partial utility failure on school grounds due to wet weather conditions. Reporting guidelines have been followed. Site has been secured and electricians have attended the school. Additional contractor will attend the school to rectify the issue. Director, Educational Leadership is aware. School remains operational.",1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173887,10/02/2020 9:42,Term 1,Emergency Situation,Metropolitan North,Hornsby,Utility Failure,,,Executive staff report loss of electricity on school grounds. The school remains operational. Parents have been notified. The school is monitoring the situation and liaising with the Director Educational leader.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-173907,10/02/2020 9:49,Term 1,Emergency Situation,Metropolitan North,Hornsby,Flood,,,Executive staff reports school are currently without power due to floods. School providing supervision for students in attendance. Executive staff aware.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-174031,10/02/2020 11:20,Term 1,Emergency Situation,Regional South,Shoalhaven,Severe Storm,,,The school advised of only XXXX staff and XXXX students present at the school due to flooding roads and limited access.  Students and staff are safe and authorised by the Director.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-174061,10/02/2020 11:43,Term 1,Violence,Rural South and West,Wagga Wagga,Assault,,,"A student assaulted another student, causing an injury, on school grounds. The injured student has been conveyed to hospital for treatment. The school is managing the matter locally.",1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-174114,10/02/2020 12:28,Term 1,Welfare,Regional South,Lake Illawarra North,Student Behaviour,,,A student in a heightened state behaved xxxxx towards employees and attempted to xxxxx school property on school grounds. No injuries were sustained. Police were called and attended the school. The student has now left school with their carer. The matter is being managed locally. Support is in place.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-174166,10/02/2020 13:09,Term 1,Emergency Situation,Metropolitan North,Gordon,Utility Failure,,,Director reported that the principal advised the school is operational but with out power. Parents have been notified.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-174178,10/02/2020 13:22,Term 1,Emergency Situation,Regional South,Lake Illawarra North,Flood,,,"An employee has reported water damage to multiple locations within the school as a result of recent floods. The damage is currently being repaired and no injuries have been sustained. The school is remaining operational and executive staff are aware. The Director, Educational Leadership is also aware.",1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-174192,10/02/2020 13:30,Term 1,Criminal Activity,Regional North and West,Great Lakes,Bomb Threat,,,"An executive staff member reports a bomb threat has been made by a student towards the school via social media. Police have attended school grounds, interviewed the student and are continuing to investigate. Student is currently being monitored by staff in a secured location. #### has been followed. Director Educational Leadership is aware.",1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-174232,10/02/2020 13:55,Term 1,Emergency Situation,Metropolitan North,Hornsby,Utility Failure,,,"It has been reported the school has no electricity due to extreme weather. XXXX trees have fallen onto school grounds, the area has been blocked off.  The school remains operational. Parents have been notified. The school is monitoring the situation and liaising with the Director Educational leader.",1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-174294,10/02/2020 14:32,Term 1,Violence,Regional South,Wollondilly,Allegations Of Sexual  Assault,,,A student disclosed allegations of ####  assault by another student at an off site activity. Police and parents will be contacted. #### guidelines have been followed. Supports are in place.,1,Off site activity,2020-biannual-incident-report-n1.csv
S-2020-174398,10/02/2020 15:28,Term 1,Violence,Metropolitan South,Girraween,Indecent Assault,,,A student disclosed being inappropriately touched by another student.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-174567,11/02/2020 8:21,Term 1,Emergency Situation,Metropolitan North,The Beaches,Utility Failure,,,"Executive staff reports a utility failure at the school. School remains fully operational. A report will be logged XXXX. Relevant authority will be contacted. Director, Educational Leadership will be notified.",1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-174668,11/02/2020 9:40,Term 1,Emergency Situation,Metropolitan North,Hornsby,Utility Failure,,,Executive staff report loss of electricity on school grounds. The school remains operational. Parents have been notified. The school is monitoring the situation and liaising with the Director Educational leader.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-174758,11/02/2020 10:54,Term 1,Violence,Regional North and West,Bathurst,Assault,,Student Welfare Concerns,An employee has sustained injuries from being assaulted by a student on school grounds. The student has made verbal threats to harm the employee and has absconded from school grounds. Student was located and collected by the parent near school grounds. An executive staff member is aware of the incident. The school is managing the incident.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-174768,11/02/2020 10:59,Term 1,Emergency Situation,Metropolitan South & South West,Cowpasture,Flood,,,Multiple areas on school grounds are currently without power due to flooding. School remains operational. Report has been made on XXXX and maintenance has been requested. Executive staff are aware.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-174843,11/02/2020 12:01,Term 1,Emergency Situation,Regional South,Wollongong,Structural Fire,,,An electrical fire occurred on school grounds. Fire and rescue were contacted and attended distinguishing the fire. No injuries were sustained. Asset management are being contacted to restore power to the administration building. The school is otherwise fully operational.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-174868,11/02/2020 12:18,Term 1,Violence,Regional North,Blue Mountains,Assault,,,"xxxxx students became involved in a physical altercation causing minor injuries.  One student made further threats to harm the other student.  First aid was applied, parents contacted and will report to Police. Director will be notified.",1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-175331,11/02/2020 14:25,Term 1,Welfare,Metropolitan South & South West,Penrith,Attempted Suicide,,,Employee reports a student has attempted suicide off school grounds. The student is now safe and has returned to school. #### has been followed. Supports have been put in place. Parents are aware. Executive staff are aware.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-175376,11/02/2020 14:41,Term 1,Violence,Rural South and West,Temora,Assault,,,"A student who was not in xxxxx at xxxxx today, and a member of the community entered school grounds without authority and assaulted a student on school grounds. The student sustained minor injuries and first aid was applied. Police will be contacted in relation to the incident.",1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-175459,11/02/2020 15:25,Term 1,Substances,Metropolitan South & South West,Eastern Creek,Possession of a Substance,,,"A student has been found to be in possession of an illicit substance and paraphernalia on school grounds. Parent was contacted. School is contacting Police. #### will be followed. Director, Educational Leadership aware.",1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-175503,11/02/2020 15:43,Term 1,Violence,Regional North,Blue Mountains,Allegations Of Sexual  Assault,,,A student has disclosed allegations of ####  assault by an unknown individual off school grounds to an employee. Police have been contacted and will be investigating the matter. Executive staff are aware. Supports are in place.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
